time (min),area (µm²),bacterium
3846.0,1.5493919999999999,2
3847.0,1.5764319999999998,2
3848.0,1.5926559999999998,2
3849.0,1.611584,2
3850.0,1.600768,2
3851.0,1.598064,2
3852.0,1.616992,2
3853.0,1.6494399999999998,2
3854.0,1.657552,2
3855.0,1.646736,2
3856.0,1.6521439999999998,2
3857.0,1.69,2
3858.0,1.671072,2
3859.0,1.692704,2
3860.0,1.7251519999999998,2
3861.0,1.7008159999999999,2
3862.0,1.7278559999999998,2
3863.0,1.746784,2
3864.0,1.7548959999999998,2
3865.0,1.7548959999999998,2
3866.0,1.7684159999999998,2
3867.0,1.7846399999999998,2
3868.0,1.795456,2
3869.0,1.8035679999999998,2
3870.0,1.822496,2
3871.0,1.8360159999999999,2
3872.0,1.8495359999999998,2
3873.0,1.8360159999999999,2
3874.0,1.8738719999999998,2
3875.0,1.8765759999999998,2
3876.0,1.8955039999999999,2
3877.0,1.898208,2
3878.0,1.9063199999999998,2
3879.0,1.944176,2
3880.0,1.94688,2
3881.0,1.963104,2
3882.0,1.9685119999999998,2
3883.0,1.9604,2
3884.0,1.9793279999999998,2
3885.0,1.9955519999999998,2
3886.0,2.04152,2
3887.0,2.011776,2
3888.0,2.046928,2
3889.0,2.073968,2
3890.0,2.087488,2
3891.0,2.111824,2
3892.0,2.106416,2
3893.0,2.1307519999999998,2
3894.0,2.1632,2
3895.0,2.168608,2
3896.0,2.1550879999999997,2
3897.0,2.1848319999999997,2
3898.0,2.236208,2
3899.0,2.241616,2
3900.0,2.2821759999999998,2
3901.0,2.268656,2
3902.0,2.295696,2
3903.0,2.3119199999999998,2
3904.0,2.3092159999999997,2
3905.0,2.241616,2
3906.0,2.255136,2
3907.0,2.241616,2
3908.0,2.2767679999999997,2
3909.0,2.2794719999999997,2
3910.0,2.2470239999999997,2
3911.0,2.2794719999999997,2
3912.0,2.2767679999999997,2
3913.0,2.2821759999999998,2
3914.0,2.295696,2
3915.0,2.317328,2
3916.0,2.3092159999999997,2
3917.0,2.320032,2
3918.0,2.32544,2
3919.0,2.35248,2
3920.0,2.357888,2
3921.0,2.3714079999999997,2
3922.0,2.3687039999999997,2
3923.0,2.382224,2
3924.0,2.417376,2
3925.0,2.411968,2
3926.0,2.4254879999999996,2
3927.0,2.4552319999999996,2
3928.0,2.509312,2
3929.0,2.5228319999999997,2
3930.0,2.525536,2
3931.0,2.560688,2
3932.0,2.593136,2
3933.0,2.66344,2
3934.0,2.647216,2
3935.0,2.660736,2
3936.0,2.6120639999999997,2
3937.0,2.628288,2
3938.0,2.6661439999999996,2
3939.0,2.6445119999999998,2
3940.0,2.687776,2
3941.0,2.7012959999999997,2
3943.0,1.6791839999999998,2
3944.0,1.6791839999999998,2
3945.0,1.7008159999999999,2
3946.0,1.69,2
3947.0,1.69,2
3948.0,1.7116319999999998,2
3949.0,1.719744,2
3950.0,1.733264,2
3951.0,1.7386719999999998,2
3952.0,1.733264,2
3953.0,1.749488,2
3954.0,1.765712,2
3955.0,1.8035679999999998,2
3956.0,1.792752,2
3957.0,1.79816,2
3958.0,1.8170879999999998,2
3959.0,1.83872,2
3960.0,1.8306079999999998,2
3961.0,1.8603519999999998,2
3962.0,1.884688,2
3963.0,1.8738719999999998,2
3964.0,1.8900959999999998,2
3965.0,1.8495359999999998,2
3966.0,1.8441279999999998,2
3967.0,1.884688,2
3968.0,1.903616,2
3969.0,1.900912,2
3970.0,1.8927999999999998,2
3971.0,1.9117279999999999,2
3972.0,1.9225439999999998,2
3973.0,1.9522879999999998,2
3974.0,1.9658079999999998,2
3975.0,1.9604,2
3976.0,1.9874399999999999,2
3977.0,1.9982559999999998,2
3978.0,2.00096,2
3979.0,2.01448,2
3980.0,2.019888,2
3981.0,2.022592,2
3982.0,2.0631519999999997,2
3983.0,2.0712639999999998,2
3984.0,2.073968,2
3985.0,2.106416,2
3986.0,2.1307519999999998,2
3987.0,2.138864,2
3988.0,2.13616,2
3989.0,2.1280479999999997,2
3990.0,2.171312,2
3991.0,2.168608,2
3992.0,2.198352,2
3993.0,2.2226879999999998,2
3994.0,2.233504,2
3995.0,2.228096,2
3996.0,2.2443199999999996,2
3997.0,2.2470239999999997,2
3998.0,2.2767679999999997,2
3999.0,2.2821759999999998,2
4000.0,2.3092159999999997,2
4001.0,2.314624,2
4002.0,2.328144,2
4003.0,2.3632959999999996,2
4004.0,2.355184,2
4005.0,2.37952,2
4006.0,2.382224,2
4007.0,2.384928,2
4008.0,2.4038559999999998,2
4009.0,2.4011519999999997,2
4010.0,2.439008,2
4011.0,2.4254879999999996,2
4012.0,2.4308959999999997,2
4013.0,2.482272,2
4014.0,2.482272,2
4015.0,2.498496,2
4016.0,2.509312,2
4017.0,2.509312,2
4018.0,2.5552799999999998,2
4019.0,2.5471679999999997,2
4020.0,2.5742079999999996,2
4021.0,2.6093599999999997,2
4022.0,2.628288,2
4023.0,2.617472,2
4024.0,2.647216,2
4025.0,2.64992,2
4026.0,2.685072,2
4027.0,2.687776,2
4028.0,2.687776,2
4029.0,2.6715519999999997,2
4030.0,2.6715519999999997,2
4031.0,2.720224,2
4032.0,2.714816,2
4033.0,2.709408,2
4034.0,2.752672,2
4035.0,2.682368,2
4036.0,2.693184,2
4037.0,2.682368,2
4038.0,2.658032,2
4039.0,2.693184,2
4041.0,1.54128,2
4042.0,1.5277599999999998,2
4043.0,1.5575039999999998,2
4044.0,1.5602079999999998,2
4045.0,1.571024,2
4046.0,1.5575039999999998,2
4047.0,1.5791359999999999,2
4048.0,1.5926559999999998,2
4049.0,1.6521439999999998,2
4050.0,1.646736,2
4051.0,1.7089279999999998,2
4052.0,1.671072,2
4053.0,1.752192,2
4054.0,1.70352,2
4055.0,1.7278559999999998,2
4056.0,1.733264,2
4057.0,1.7575999999999998,2
4058.0,1.7684159999999998,2
4059.0,1.792752,2
4060.0,1.7846399999999998,2
4061.0,1.781936,2
4062.0,1.79816,2
4063.0,1.8306079999999998,2
4064.0,1.8306079999999998,2
4065.0,1.83872,2
4066.0,1.83872,2
4067.0,1.841424,2
4068.0,1.868464,2
4069.0,1.8603519999999998,2
4070.0,1.8792799999999998,2
4071.0,1.884688,2
4072.0,1.903616,2
4073.0,1.930656,2
4074.0,1.914432,2
4075.0,1.9604,2
4076.0,1.9522879999999998,2
4077.0,1.9604,2
4078.0,1.990144,2
4079.0,1.9847359999999998,2
4080.0,1.990144,2
4081.0,1.9955519999999998,2
4082.0,2.0334079999999997,2
4083.0,2.04152,2
4084.0,2.04152,2
4085.0,2.049632,2
4086.0,2.0712639999999998,2
4087.0,2.090192,2
4088.0,2.106416,2
4089.0,2.0983039999999997,2
4090.0,2.114528,2
4091.0,2.133456,2
4092.0,2.13616,2
4093.0,2.171312,2
4094.0,2.165904,2
4095.0,2.1875359999999997,2
4096.0,2.195648,2
4097.0,2.2172799999999997,2
4098.0,2.236208,2
4099.0,2.228096,2
4100.0,2.228096,2
4101.0,2.2470239999999997,2
4102.0,2.233504,2
4103.0,2.25784,2
4104.0,2.27136,2
4105.0,2.260544,2
4106.0,2.28488,2
4107.0,2.317328,2
4108.0,2.3335519999999996,2
4109.0,2.360592,2
4110.0,2.322736,2
4111.0,2.382224,2
4112.0,2.3687039999999997,2
4113.0,2.3687039999999997,2
4114.0,2.422784,2
4115.0,2.4011519999999997,2
4116.0,2.441712,2
4117.0,2.4335999999999998,2
4118.0,2.4633439999999998,2
4119.0,2.503904,2
4120.0,2.471456,2
4121.0,2.5444639999999996,2
4122.0,2.5796159999999997,2
4123.0,2.5444639999999996,2
4124.0,2.59584,2
4125.0,2.5498719999999997,2
4126.0,2.571504,2
4127.0,2.5471679999999997,2
4128.0,2.5688,2
4129.0,2.571504,2
4130.0,2.601248,2
4132.0,1.5629119999999999,2
4133.0,1.6196959999999998,2
4134.0,1.611584,2
4135.0,1.5899519999999998,2
4136.0,1.6359199999999998,2
4137.0,1.630512,2
4138.0,1.641328,2
4139.0,1.6845919999999999,2
4140.0,1.657552,2
4141.0,1.692704,2
4142.0,1.5439839999999998,2
4143.0,1.5493919999999999,2
4144.0,1.5629119999999999,2
4145.0,1.7008159999999999,2
4146.0,1.70352,2
4147.0,1.71704,2
4148.0,1.722448,2
4149.0,1.7386719999999998,2
4150.0,1.7575999999999998,2
4151.0,1.7603039999999999,2
4152.0,1.7603039999999999,2
